simTrack 0.031527 0.001693 0.146334 4.418970 -8.967553 4.920586 -1 pt=9.997215 trkIdx=0 algo=13
simHit -16.378960 104.803566 -21.125193 106.075717 -0.197859 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.031664 0.001394 -1.269335 5.061298 -8.625565 2.279745 1 pt=10.000855 trkIdx=0 algo=4
simHit 2.137841 -3.607676 -0.316811 4.193529 -0.075476 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 3.589148 -6.117492 0.344229 7.092650 0.048514 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 5.009476 -8.591785 0.994604 9.945533 0.099839 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 13.177441 -23.220264 4.718709 26.698794 0.175831 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 15.916513 -28.247297 6.027032 32.422912 0.184834 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 21.221931 -38.255768 8.612190 43.747847 0.195610 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 24.738111 -45.067310 10.396463 51.410472 0.200871 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 28.409908 -52.338112 12.291077 59.551665 0.204956 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 31.901653 -59.407444 14.086330 67.431149 0.207409 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 37.326511 -70.722282 16.945271 79.968179 0.210346 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit 41.042423 -78.720100 18.957458 88.776882 0.211950 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 44.756157 -86.928940 21.012295 97.773995 0.213286 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 49.648273 -98.105263 23.794113 109.952688 0.214749 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.031664 0.001394 -1.269335 -5.061298 8.625565 -2.279745 -1 pt=10.000855 trkIdx=1 algo=14
simHit -2.109998 3.631061 -2.230118 4.199606 -0.508792 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -3.590124 6.117020 -2.889710 7.092737 -0.396914 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -5.056031 8.559785 -3.539673 9.941497 -0.348927 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -12.197553 20.205994 -6.639949 23.602171 -0.277743 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -18.366447 29.951231 -9.279183 35.134067 -0.261130 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -22.857492 36.868919 -11.154542 43.379513 -0.254386 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -25.462992 40.820042 -12.210861 48.110703 -0.251159 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -31.274044 49.467052 -14.611092 58.523970 -0.247137 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -36.609619 57.218067 -16.753908 67.927693 -0.244209 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
